Year,Month,Day,Source,Power
2018,1,2,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031, 0.113, 0.193, 0.262, 0.317, 0.384, 0.501, 0.319, 0.088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,3,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.036, 0.108, 0.222, 0.412, 0.555, 0.603, 0.5, 0.324, 0.093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,4,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035, 0.149, 0.24, 0.348, 0.474, 0.56, 0.503, 0.33, 0.099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,5,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.038, 0.231, 0.366, 0.583, 0.674, 0.64, 0.526, 0.327, 0.078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,6,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023, 0.063, 0.084, 0.098, 0.094, 0.068, 0.038, 0.015, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,7,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.074, 0.165, 0.27, 0.318, 0.415, 0.328, 0.268, 0.151, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,8,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017, 0.263, 0.454, 0.541, 0.557, 0.56, 0.543, 0.399, 0.159, 0.026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,9,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009, 0.105, 0.191, 0.21, 0.198, 0.165, 0.154, 0.102, 0.051, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,10,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009, 0.035, 0.122, 0.182, 0.217, 0.39, 0.409, 0.264, 0.027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,11,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.024, 0.045, 0.105, 0.303, 0.343, 0.354, 0.278, 0.063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
