Year,Month,Day,Source,Power
2018,1,2,WG,"[0.236, 0.218, 0.225, 0.245, 0.272, 0.269, 0.233, 0.2, 0.192, 0.17, 0.151, 0.144, 0.155, 0.178, 0.182, 0.204, 0.221, 0.226, 0.274, 0.319, 0.352, 0.349, 0.311, 0.257]"
2018,1,3,WG,"[0.216, 0.201, 0.199, 0.193, 0.173, 0.146, 0.127, 0.114, 0.113, 0.098, 0.091, 0.111, 0.157, 0.239, 0.305, 0.289, 0.245, 0.259, 0.305, 0.309, 0.281, 0.238, 0.201, 0.161]"
2018,1,4,WG,"[0.116, 0.071, 0.038, 0.034, 0.056, 0.085, 0.114, 0.144, 0.171, 0.179, 0.211, 0.241, 0.296, 0.404, 0.491, 0.534, 0.53, 0.476, 0.547, 0.54, 0.466, 0.391, 0.384, 0.403]"
2018,1,5,WG,"[0.413, 0.447, 0.476, 0.495, 0.491, 0.454, 0.416, 0.447, 0.466, 0.494, 0.615, 0.642, 0.674, 0.712, 0.748, 0.759, 0.731, 0.623, 0.603, 0.63, 0.642, 0.602, 0.586, 0.625]"
2018,1,6,WG,"[0.672, 0.729, 0.759, 0.809, 0.779, 0.718, 0.56, 0.389, 0.258, 0.206, 0.162, 0.192, 0.25, 0.23, 0.237, 0.378, 0.607, 0.722, 0.776, 0.819, 0.822, 0.813, 0.799, 0.756]"
2018,1,7,WG,"[0.706, 0.674, 0.644, 0.619, 0.589, 0.491, 0.436, 0.401, 0.347, 0.283, 0.296, 0.355, 0.454, 0.522, 0.516, 0.449, 0.317, 0.147, 0.065, 0.028, 0.031, 0.069, 0.104, 0.12]"
2018,1,8,WG,"[0.117, 0.099, 0.078, 0.057, 0.044, 0.039, 0.04, 0.045, 0.046, 0.041, 0.035, 0.03, 0.025, 0.022, 0.013, 0.005, 0.003, 0.002, 0.002, 0.005, 0.017, 0.035, 0.046, 0.03]"
2018,1,9,WG,"[0.014, 0.009, 0.011, 0.014, 0.032, 0.063, 0.118, 0.162, 0.215, 0.236, 0.186, 0.259, 0.305, 0.302, 0.297, 0.278, 0.212, 0.261, 0.379, 0.42, 0.438, 0.494, 0.547, 0.619]"
2018,1,10,WG,"[0.619, 0.526, 0.453, 0.445, 0.539, 0.589, 0.601, 0.618, 0.59, 0.491, 0.535, 0.627, 0.697, 0.77, 0.839, 0.861, 0.841, 0.773, 0.808, 0.871, 0.903, 0.903, 0.906, 0.84]"
2018,1,11,WG,"[0.674, 0.508, 0.311, 0.278, 0.338, 0.391, 0.413, 0.482, 0.59, 0.627, 0.656, 0.668, 0.76, 0.812, 0.795, 0.732, 0.607, 0.476, 0.488, 0.501, 0.503, 0.464, 0.429, 0.386]"
2018,1,12,WG,"[0.314, 0.241, 0.193, 0.158, 0.104, 0.056, 0.072, 0.087, 0.084, 0.049, 0.039, 0.024, 0.008, 0.022, 0.044, 0.048, 0.043, 0.053, 0.038, 0.021, 0.014, 0.026, 0.054, 0.089]"
2018,1,13,WG,"[0.111, 0.128, 0.144, 0.169, 0.185, 0.195, 0.199, 0.192, 0.201, 0.225, 0.215, 0.204, 0.314, 0.503, 0.657, 0.725, 0.737, 0.646, 0.623, 0.607, 0.59, 0.596, 0.559, 0.535]"
2018,1,14,WG,"[0.465, 0.444, 0.425, 0.411, 0.343, 0.3, 0.276, 0.258, 0.232, 0.208, 0.215, 0.233, 0.228, 0.193, 0.153, 0.106, 0.08, 0.076, 0.089, 0.104, 0.121, 0.146, 0.16, 0.176]"
2018,1,15,WG,"[0.194, 0.215, 0.249, 0.297, 0.323, 0.325, 0.323, 0.328, 0.347, 0.269, 0.167, 0.259, 0.185, 0.103, 0.042, 0.027, 0.062, 0.082, 0.083, 0.095, 0.086, 0.068, 0.083, 0.123]"
2018,1,16,WG,"[0.174, 0.231, 0.279, 0.32, 0.335, 0.32, 0.302, 0.282, 0.259, 0.179, 0.156, 0.214, 0.257, 0.305, 0.346, 0.358, 0.314, 0.27, 0.299, 0.312, 0.307, 0.264, 0.191, 0.126]"
2018,1,17,WG,"[0.081, 0.045, 0.041, 0.057, 0.068, 0.071, 0.055, 0.05, 0.058, 0.042, 0.041, 0.135, 0.255, 0.328, 0.361, 0.368, 0.325, 0.31, 0.35, 0.376, 0.407, 0.452, 0.516, 0.583]"
2018,1,18,WG,"[0.64, 0.66, 0.618, 0.556, 0.501, 0.43, 0.388, 0.414, 0.442, 0.314, 0.206, 0.294, 0.236, 0.164, 0.123, 0.103, 0.085, 0.097, 0.155, 0.271, 0.538, 0.46, 0.252, 0.142]"
2018,1,19,WG,"[0.085, 0.072, 0.092, 0.142, 0.179, 0.184, 0.177, 0.159, 0.127, 0.076, 0.023, 0.027, 0.03, 0.017, 0.02, 0.078, 0.172, 0.294, 0.403, 0.464, 0.479, 0.504, 0.485, 0.396]"
2018,1,20,WG,"[0.361, 0.339, 0.264, 0.201, 0.157, 0.112, 0.063, 0.045, 0.057, 0.074, 0.083, 0.232, 0.433, 0.51, 0.556, 0.593, 0.548, 0.469, 0.508, 0.508, 0.466, 0.407, 0.362, 0.325]"
2018,1,21,WG,"[0.277, 0.221, 0.162, 0.111, 0.068, 0.065, 0.084, 0.101, 0.11, 0.086, 0.092, 0.142, 0.251, 0.348, 0.39, 0.401, 0.364, 0.286, 0.254, 0.219, 0.185, 0.159, 0.146, 0.134]"
2018,1,22,WG,"[0.118, 0.102, 0.088, 0.077, 0.061, 0.045, 0.035, 0.035, 0.045, 0.054, 0.041, 0.051, 0.096, 0.132, 0.15, 0.152, 0.143, 0.156, 0.16, 0.128, 0.103, 0.1, 0.118, 0.151]"
2018,1,23,WG,"[0.176, 0.179, 0.155, 0.121, 0.094, 0.076, 0.101, 0.125, 0.128, 0.105, 0.052, 0.019, 0.015, 0.019, 0.027, 0.033, 0.055, 0.108, 0.12, 0.101, 0.073, 0.043, 0.027, 0.028]"
2018,1,24,WG,"[0.043, 0.073, 0.111, 0.142, 0.152, 0.146, 0.14, 0.139, 0.146, 0.156, 0.108, 0.094, 0.13, 0.159, 0.163, 0.147, 0.123, 0.111, 0.094, 0.085, 0.096, 0.128, 0.18, 0.236]"
2018,1,25,WG,"[0.278, 0.3, 0.305, 0.308, 0.307, 0.311, 0.332, 0.352, 0.358, 0.289, 0.261, 0.364, 0.447, 0.523, 0.587, 0.653, 0.747, 0.763, 0.714, 0.692, 0.594, 0.534, 0.592, 0.645]"
2018,1,26,WG,"[0.662, 0.663, 0.668, 0.679, 0.672, 0.651, 0.623, 0.519, 0.451, 0.511, 0.663, 0.711, 0.712, 0.72, 0.735, 0.768, 0.796, 0.755, 0.754, 0.77, 0.738, 0.715, 0.687, 0.714]"
2018,1,27,WG,"[0.691, 0.512, 0.473, 0.437, 0.454, 0.496, 0.457, 0.376, 0.311, 0.441, 0.7, 0.809, 0.739, 0.621, 0.532, 0.529, 0.518, 0.442, 0.462, 0.525, 0.554, 0.582, 0.583, 0.55]"
2018,1,28,WG,"[0.513, 0.504, 0.525, 0.566, 0.674, 0.772, 0.791, 0.837, 0.842, 0.824, 0.835, 0.851, 0.881, 0.958, 0.973, 0.962, 0.938, 0.887, 0.857, 0.858, 0.881, 0.91, 0.917, 0.901]"
2018,1,29,WG,"[0.873, 0.857, 0.833, 0.811, 0.791, 0.772, 0.743, 0.724, 0.701, 0.722, 0.77, 0.777, 0.739, 0.675, 0.628, 0.611, 0.606, 0.552, 0.625, 0.661, 0.666, 0.679, 0.65, 0.623]"
2018,1,30,WG,"[0.581, 0.54, 0.49, 0.433, 0.388, 0.379, 0.397, 0.432, 0.45, 0.417, 0.456, 0.434, 0.367, 0.307, 0.253, 0.216, 0.196, 0.219, 0.315, 0.409, 0.463, 0.491, 0.5, 0.507]"
2018,1,31,WG,"[0.484, 0.432, 0.401, 0.367, 0.313, 0.294, 0.332, 0.459, 0.459, 0.269, 0.134, 0.082, 0.024, 0.022, 0.058, 0.098, 0.112, 0.157, 0.227, 0.279, 0.294, 0.319, 0.336, 0.349]"
2018,2,1,WG,"[0.332, 0.302, 0.279, 0.29, 0.343, 0.386, 0.413, 0.477, 0.499, 0.441, 0.539, 0.595, 0.638, 0.715, 0.783, 0.827, 0.826, 0.699, 0.526, 0.402, 0.33, 0.323, 0.359, 0.388]"
2018,2,2,WG,"[0.432, 0.447, 0.488, 0.498, 0.552, 0.568, 0.583, 0.516, 0.457, 0.569, 0.759, 0.818, 0.839, 0.852, 0.856, 0.856, 0.861, 0.819, 0.794, 0.773, 0.731, 0.687, 0.611, 0.544]"
2018,2,3,WG,"[0.494, 0.447, 0.375, 0.34, 0.302, 0.249, 0.187, 0.125, 0.08, 0.054, 0.137, 0.201, 0.259, 0.344, 0.408, 0.443, 0.448, 0.402, 0.438, 0.501, 0.525, 0.498, 0.498, 0.51]"
2018,2,4,WG,"[0.484, 0.519, 0.541, 0.51, 0.39, 0.325, 0.29, 0.249, 0.211, 0.167, 0.152, 0.132, 0.135, 0.186, 0.22, 0.204, 0.134, 0.069, 0.037, 0.011, 0.003, 0.005, 0.013, 0.023]"
2018,2,5,WG,"[0.034, 0.041, 0.051, 0.068, 0.064, 0.045, 0.034, 0.03, 0.026, 0.02, 0.02, 0.016, 0.015, 0.018, 0.027, 0.038, 0.046, 0.054, 0.066, 0.062, 0.054, 0.04, 0.034, 0.038]"
2018,2,6,WG,"[0.05, 0.065, 0.078, 0.087, 0.102, 0.124, 0.146, 0.194, 0.245, 0.249, 0.388, 0.46, 0.513, 0.59, 0.661, 0.678, 0.592, 0.341, 0.189, 0.228, 0.357, 0.444, 0.45, 0.434]"
2018,2,7,WG,"[0.398, 0.364, 0.328, 0.278, 0.227, 0.189, 0.156, 0.134, 0.109, 0.102, 0.223, 0.214, 0.162, 0.119, 0.09, 0.071, 0.071, 0.133, 0.291, 0.436, 0.51, 0.528, 0.529, 0.526]"
2018,2,8,WG,"[0.543, 0.491, 0.454, 0.437, 0.444, 0.462, 0.466, 0.448, 0.38, 0.342, 0.347, 0.204, 0.121, 0.126, 0.183, 0.251, 0.279, 0.278, 0.312, 0.284, 0.231, 0.176, 0.138, 0.114]"
2018,2,9,WG,"[0.089, 0.067, 0.051, 0.043, 0.039, 0.036, 0.029, 0.023, 0.02, 0.011, 0.032, 0.065, 0.108, 0.144, 0.162, 0.192, 0.22, 0.233, 0.242, 0.251, 0.26, 0.243, 0.214, 0.23]"
2018,2,10,WG,"[0.281, 0.325, 0.348, 0.343, 0.263, 0.209, 0.204, 0.194, 0.177, 0.146, 0.276, 0.458, 0.484, 0.533, 0.613, 0.658, 0.654, 0.559, 0.494, 0.463, 0.398, 0.346, 0.281, 0.203]"
2018,2,11,WG,"[0.147, 0.106, 0.076, 0.068, 0.1, 0.138, 0.162, 0.17, 0.151, 0.115, 0.188, 0.276, 0.312, 0.344, 0.377, 0.416, 0.454, 0.437, 0.528, 0.612, 0.62, 0.583, 0.481, 0.415]"
2018,2,12,WG,"[0.401, 0.445, 0.49, 0.505, 0.523, 0.495, 0.429, 0.422, 0.375, 0.334, 0.422, 0.531, 0.588, 0.511, 0.493, 0.562, 0.61, 0.516, 0.5, 0.47, 0.404, 0.321, 0.237, 0.174]"
2018,2,13,WG,"[0.109, 0.048, 0.019, 0.046, 0.122, 0.23, 0.332, 0.423, 0.441, 0.334, 0.574, 0.645, 0.653, 0.676, 0.707, 0.735, 0.727, 0.657, 0.607, 0.573, 0.506, 0.417, 0.396, 0.408]"
2018,2,14,WG,"[0.429, 0.438, 0.459, 0.47, 0.427, 0.395, 0.376, 0.355, 0.32, 0.26, 0.395, 0.464, 0.493, 0.516, 0.494, 0.459, 0.42, 0.341, 0.272, 0.248, 0.234, 0.243, 0.245, 0.223]"
2018,2,15,WG,"[0.183, 0.141, 0.112, 0.093, 0.083, 0.07, 0.055, 0.044, 0.034, 0.019, 0.012, 0.023, 0.022, 0.021, 0.025, 0.037, 0.059, 0.101, 0.165, 0.169, 0.145, 0.12, 0.115, 0.116]"
2018,2,16,WG,"[0.108, 0.093, 0.076, 0.066, 0.063, 0.06, 0.052, 0.042, 0.034, 0.02, 0.013, 0.015, 0.021, 0.034, 0.045, 0.051, 0.058, 0.071, 0.1, 0.116, 0.133, 0.161, 0.17, 0.152]"
2018,2,17,WG,"[0.125, 0.098, 0.077, 0.064, 0.054, 0.047, 0.039, 0.031, 0.026, 0.02, 0.038, 0.089, 0.138, 0.167, 0.179, 0.176, 0.172, 0.172, 0.2, 0.214, 0.207, 0.174, 0.133, 0.105]"
2018,2,18,WG,"[0.095, 0.122, 0.153, 0.188, 0.202, 0.192, 0.169, 0.156, 0.141, 0.095, 0.055, 0.022, 0.006, 0.003, 0.03, 0.071, 0.12, 0.169, 0.253, 0.292, 0.296, 0.305, 0.288, 0.247]"
2018,2,19,WG,"[0.203, 0.173, 0.181, 0.218, 0.27, 0.318, 0.334, 0.311, 0.243, 0.144, 0.123, 0.112, 0.12, 0.132, 0.153, 0.179, 0.213, 0.225, 0.231, 0.246, 0.241, 0.253, 0.286, 0.318]"
2018,2,20,WG,"[0.362, 0.404, 0.407, 0.414, 0.403, 0.355, 0.334, 0.331, 0.259, 0.305, 0.499, 0.483, 0.481, 0.494, 0.512, 0.537, 0.562, 0.544, 0.471, 0.424, 0.437, 0.505, 0.583, 0.597]"
2018,2,21,WG,"[0.538, 0.472, 0.434, 0.435, 0.449, 0.454, 0.416, 0.358, 0.311, 0.472, 0.66, 0.615, 0.568, 0.565, 0.583, 0.615, 0.646, 0.638, 0.637, 0.688, 0.685, 0.67, 0.63, 0.523]"
2018,2,22,WG,"[0.433, 0.374, 0.322, 0.251, 0.192, 0.159, 0.166, 0.188, 0.154, 0.121, 0.194, 0.247, 0.309, 0.372, 0.418, 0.435, 0.432, 0.38, 0.277, 0.227, 0.18, 0.161, 0.211, 0.313]"
2018,2,23,WG,"[0.419, 0.457, 0.42, 0.337, 0.282, 0.274, 0.279, 0.292, 0.238, 0.184, 0.132, 0.076, 0.049, 0.041, 0.042, 0.043, 0.037, 0.035, 0.058, 0.087, 0.131, 0.203, 0.292, 0.367]"
2018,2,24,WG,"[0.398, 0.398, 0.395, 0.388, 0.351, 0.304, 0.27, 0.249, 0.195, 0.089, 0.059, 0.056, 0.058, 0.065, 0.076, 0.081, 0.083, 0.085, 0.093, 0.071, 0.057, 0.067, 0.095, 0.128]"
2018,2,25,WG,"[0.151, 0.151, 0.135, 0.124, 0.12, 0.12, 0.127, 0.131, 0.106, 0.059, 0.058, 0.091, 0.11, 0.096, 0.079, 0.072, 0.067, 0.071, 0.081, 0.069, 0.054, 0.045, 0.046, 0.058]"
2018,2,26,WG,"[0.072, 0.082, 0.088, 0.094, 0.093, 0.079, 0.058, 0.039, 0.034, 0.02, 0.011, 0.005, 0.003, 0.012, 0.028, 0.039, 0.056, 0.093, 0.132, 0.126, 0.111, 0.111, 0.122, 0.148]"
2018,2,27,WG,"[0.191, 0.195, 0.137, 0.106, 0.091, 0.081, 0.062, 0.035, 0.027, 0.036, 0.082, 0.252, 0.59, 0.834, 0.912, 0.916, 0.896, 0.812, 0.724, 0.685, 0.586, 0.441, 0.374, 0.439]"
2018,2,28,WG,"[0.556, 0.649, 0.693, 0.715, 0.71, 0.741, 0.768, 0.79, 0.773, 0.834, 0.914, 0.951, 0.969, 0.975, 0.976, 0.982, 0.972, 0.958, 0.943, 0.943, 0.965, 0.97, 0.971, 0.955]"
2018,3,1,WG,"[0.905, 0.849, 0.832, 0.8, 0.746, 0.71, 0.664, 0.695, 0.726, 0.795, 0.866, 0.913, 0.975, 0.99, 0.991, 0.991, 0.989, 0.984, 0.982, 0.985, 0.991, 0.991, 0.981, 0.964]"
2018,3,2,WG,"[0.936, 0.884, 0.799, 0.671, 0.524, 0.311, 0.177, 0.252, 0.414, 0.615, 0.859, 0.931, 0.952, 0.952, 0.974, 0.99, 0.988, 0.977, 0.968, 0.955, 0.955, 0.953, 0.968, 0.985]"
2018,3,3,WG,"[0.977, 0.962, 0.951, 0.94, 0.938, 0.933, 0.909, 0.89, 0.862, 0.888, 0.895, 0.888, 0.858, 0.834, 0.855, 0.823, 0.744, 0.62, 0.544, 0.525, 0.491, 0.447, 0.484, 0.571]"
